Time (s),Temperature (C),Cooling Power (W)
0.0,24.9479,100.0
1.0,24.89580521,100.0
2.0,24.843715629479,100.0
3.0,24.791631257916052,100.0
4.0,24.73955209479026,100.0
5.0,24.68747813958078,100.0
6.0,24.63540939176682,100.0
7.0,24.583345850827644,100.0
8.0,24.53128751624256,100.0
9.0,24.479234387490937,100.0
10.0,24.427186464052188,100.0
11.0,24.375143745405783,100.0
12.0,24.323106231031243,100.0
13.0,24.27107392040814,100.0
14.0,24.2190468130161,100.0
15.0,24.1670249083348,100.0
16.0,24.115008205843967,100.0
17.0,24.062996705023384,100.0
18.0,24.01099040535288,100.0
19.0,23.958989306312347,100.0
20.0,23.906993407381716,100.0
21.0,23.855002708040978,100.0
22.0,23.803017207770175,100.0
23.0,23.751036906049396,100.0
24.0,23.69906180235879,100.0
25.0,23.647091896178555,100.0
26.0,23.595127186988936,100.0
27.0,23.543167674270236,100.0
28.0,23.491213357502808,100.0
29.0,23.43926423616706,100.0
30.0,23.38732030974344,100.0
31.0,23.335381577712464,100.0
32.0,23.283448039554692,100.0
33.0,23.231519694750737,100.0
34.0,23.179596542781262,100.0
35.0,23.127678583126983,100.0
36.0,23.07576581526867,100.0
37.0,23.023858238687144,100.0
38.0,22.971955852863275,100.0
39.0,22.920058657277988,100.0
40.0,22.86816665141226,100.0
41.0,22.816279834747117,100.0
42.0,22.764398206763644,100.0
43.0,22.712521766942967,100.0
44.0,22.66065051476627,100.0
45.0,22.608784449714793,100.0
46.0,22.55692357126982,100.0
47.0,22.505067878912694,100.0
48.0,22.453217372124804,100.0
49.0,22.401372050387593,100.0
50.0,22.349531913182556,100.0
51.0,22.29769695999124,100.0
52.0,22.24586719029524,100.0
53.0,22.19404260357621,100.0
54.0,22.142223199315854,100.0
55.0,22.090408976995924,100.0
56.0,22.038599936098226,100.0
57.0,21.986796076104618,100.0
58.0,21.934997396497007,100.0
59.0,21.883203896757358,100.0
60.0,21.831415576367682,100.0
61.0,21.779632434810047,100.0
62.0,21.727854471566566,100.0
63.0,21.67608168611941,100.0
64.0,21.6243140779508,100.0
65.0,21.572551646543005,100.0
66.0,21.52079439137835,100.0
67.0,21.469042311939212,100.0
68.0,21.417295407708018,100.0
69.0,21.365553678167245,100.0
70.0,21.313817122799428,100.0
71.0,21.262085741087148,100.0
72.0,21.21035953251304,100.0
73.0,21.15863849655979,100.0
74.0,21.106922632710134,100.0
75.0,21.055211940446863,100.0
76.0,21.00350641925282,100.0
77.0,20.951806068610892,100.0
78.0,20.900110888004033,100.0
79.0,20.84842087691523,100.0
80.0,20.79673603482754,100.0
81.0,20.745056361224055,100.0
82.0,20.693381855587933,100.0
83.0,20.641712517402375,100.0
84.0,20.590048346150635,100.0
85.0,20.53838934131602,100.0
86.0,20.486735502381887,100.0
87.0,20.435086828831647,100.0
88.0,20.383443320148764,100.0
89.0,20.33180497581675,100.0
90.0,20.280171795319166,100.0
91.0,20.228543778139635,100.0
92.0,20.17692092376182,100.0
93.0,20.125303231669445,100.0
94.0,20.07369070134628,100.0
95.0,20.022083332276146,100.0
96.0,19.970481123942918,100.0
97.0,19.918884075830523,100.0
98.0,19.86729218742294,100.0
99.0,19.8157054582042,100.0
100.0,19.76412388765838,100.0
101.0,19.712547475269613,100.0
102.0,19.660976220522087,100.0
103.0,19.609410122900034,100.0
104.0,19.557849181887743,100.0
105.0,19.506293396969554,100.0
106.0,19.454742767629856,100.0
107.0,19.40319729335309,100.0
108.0,19.351656973623758,100.0
109.0,19.300121807926395,100.0
110.0,19.248591795745604,100.0
111.0,19.197066936566028,100.0
112.0,19.14554722987237,100.0
113.0,19.094032675149382,100.0
114.0,19.042523271881866,100.0
115.0,18.991019019554678,100.0
116.0,18.93951991765272,100.0
117.0,18.888025965660955,100.0
118.0,18.83653716306439,100.0
119.0,18.78505350934808,100.0
120.0,18.733575003997146,100.0
121.0,18.682101646496747,100.0
122.0,18.630633436332097,100.0
123.0,18.579170372988465,100.0
124.0,18.527712455951164,100.0
125.0,18.476259684705568,100.0
126.0,18.424812058737096,100.0
127.0,18.37336957753122,100.0
128.0,18.321932240573467,100.0
129.0,18.270500047349408,100.0
130.0,18.21907299734467,100.0
131.0,18.167651090044938,100.0
132.0,18.116234324935935,100.0
133.0,18.06482270150344,100.0
134.0,18.013416219233292,100.0
135.0,17.96201487761137,100.0
136.0,17.910618676123608,100.0
137.0,17.859227614255996,100.0
138.0,17.80784169149457,100.0
139.0,17.75646090732542,100.0
140.0,17.705085261234686,100.0
141.0,17.653714752708563,100.0
142.0,17.602349381233292,100.0
143.0,17.55098914629517,100.0
144.0,17.49963404738054,100.0
145.0,17.4482840839758,100.0
146.0,17.396939255567403,100.0
147.0,17.345599561641848,100.0
148.0,17.294265001685684,100.0
149.0,17.242935575185516,100.0
150.0,17.191611281628,100.0
151.0,17.140292120499836,100.0
152.0,17.088978091287785,100.0
153.0,17.037669193478656,100.0
154.0,16.98636542655931,100.0
155.0,16.935066790016656,100.0
156.0,16.883773283337653,100.0
157.0,16.83248490600932,100.0
158.0,16.781201657518718,100.0
159.0,16.729923537352967,100.0
160.0,16.678650544999233,100.0
161.0,16.627382679944734,100.0
162.0,16.57611994167674,100.0
163.0,16.524862329682573,100.0
164.0,16.473609843449605,100.0
165.0,16.42236248246526,100.0
166.0,16.371120246217014,100.0
167.0,16.31988313419239,100.0
168.0,16.268651145878973,100.0
169.0,16.217424280764384,100.0
170.0,16.166202538336307,100.0
171.0,16.114985918082475,100.0
172.0,16.063774419490667,100.0
173.0,16.012568042048716,100.0
174.0,15.961366785244511,100.0
175.0,15.910170648565988,100.0
176.0,15.85897963150113,100.0
177.0,15.80779373353798,100.0
178.0,15.756612954164627,100.0
179.0,15.70543729286921,100.0
180.0,15.654266749139923,100.0
181.0,15.60310132246501,100.0
182.0,15.551941012332763,100.0
183.0,15.500785818231531,100.0
184.0,15.449635739649707,100.0
185.0,15.398490776075743,100.0
186.0,15.347350926998136,100.0
187.0,15.296216191905437,100.0
188.0,15.245086570286245,100.0
